# Tiny ImageNet 200 classes
# Format: index | WordNet id | class names | prompt words

000 | n01443537 | goldfish, Carassius auratus | auratus, carassius, goldfish
001 | n01629819 | European fire salamander, Salamandra salamandra | european, fire, salamander, salamandra
002 | n01641577 | bullfrog, Rana catesbeiana | bullfrog, catesbeiana, rana
003 | n01644900 | tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui | ascaphus, bell, frog, ribbed, tailed, toad, trui
004 | n01698640 | American alligator, Alligator mississipiensis | alligator, american, mississipiensis
005 | n01742172 | boa constrictor, Constrictor constrictor | boa, constrictor
006 | n01768244 | trilobite | trilobite
007 | n01770393 | scorpion | scorpion
008 | n01774384 | black widow, Latrodectus mactans | latrodectus, mactans, widow
009 | n01774750 | tarantula | tarantula
010 | n01784675 | centipede | centipede
011 | n01882714 | koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus | bear, cinereus, kangaroo, koala, native, phascolarctos
012 | n01910747 | jellyfish | jellyfish
013 | n01917289 | brain coral | brain, coral
014 | n01944390 | snail | snail
015 | n01950731 | sea slug, nudibranch | nudibranch, sea, slug
016 | n01983481 | American lobster, Northern lobster, Maine lobster, Homarus americanus | american, americanus, homarus, lobster, maine, northern
017 | n01984695 | spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish | crawfish, crayfish, langouste, lobster, rock, sea, spiny
018 | n02002724 | black stork, Ciconia nigra | ciconia, nigra, stork
019 | n02056570 | king penguin, Aptenodytes patagonica | aptenodytes, king, patagonica, penguin
020 | n02058221 | albatross, mollymawk | albatross, mollymawk
021 | n02074367 | dugong, Dugong dugon | dugon, dugong
022 | n02094433 | Yorkshire terrier | terrier, yorkshire
023 | n02099601 | golden retriever | golden, retriever
024 | n02099712 | Labrador retriever | labrador, retriever
025 | n02106662 | German shepherd, German shepherd dog, German police dog, alsatian | alsatian, dog, german, police, shepherd
026 | n02113799 | standard poodle | poodle, standard
027 | n02123045 | tabby, tabby cat | cat, tabby
028 | n02123394 | Persian cat | cat, persian
029 | n02124075 | Egyptian cat | cat, egyptian
030 | n02125311 | cougar, puma, catamount, mountain lion, painter, panther, Felis concolor | catamount, concolor, cougar, felis, lion, mountain, painter, panther, puma
031 | n02129165 | lion, king of beasts, Panthera leo | beasts, king, leo, lion, panthera
032 | n02132136 | brown bear, bruin, Ursus arctos | arctos, bear, bruin, ursus
033 | n02165456 | ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle | beetle, lady, ladybeetle, ladybird, ladybug
034 | n02226429 | grasshopper, hopper | grasshopper, hopper
035 | n02231487 | walking stick, walkingstick, stick insect | insect, stick, walking, walkingstick
036 | n02233338 | cockroach, roach | cockroach, roach
037 | n02236044 | mantis, mantid | mantid, mantis
038 | n02268443 | dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk | darning, devil, doctor, dragonfly, feeder, hawk, mosquito, needle, sewing, skeeter, snake
039 | n02279972 | monarch, monarch butterfly, milkweed butterfly, Danaus plexippus | butterfly, danaus, milkweed, monarch, plexippus
040 | n02281406 | sulphur butterfly, sulfur butterfly | butterfly, sulfur, sulphur
041 | n02321529 | sea cucumber, holothurian | cucumber, holothurian, sea
042 | n02364673 | guinea pig, Cavia cobaya | cavia, cobaya, guinea, pig
043 | n02395406 | hog, pig, grunter, squealer, Sus scrofa | grunter, hog, pig, scrofa, squealer, sus
044 | n02403003 | ox | ox
045 | n02410509 | bison | bison
046 | n02415577 | bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis | bighorn, canadensis, cimarron, mountain, ovis, rocky, sheep
047 | n02423022 | gazelle | gazelle
048 | n02437312 | Arabian camel, dromedary, Camelus dromedarius | arabian, camel, camelus, dromedarius, dromedary
049 | n02480495 | orangutan, orang, orangutang, Pongo pygmaeus | orang, orangutan, orangutang, pongo, pygmaeus
050 | n02481823 | chimpanzee, chimp, Pan troglodytes | chimp, chimpanzee, pan, troglodytes
051 | n02486410 | baboon | baboon
052 | n02504458 | African elephant, Loxodonta africana | african, africana, elephant, loxodonta
053 | n02509815 | lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens | ailurus, bear, cat, fulgens, lesser, panda
054 | n02666347 | abacus | abacus
055 | n02669723 | academic gown, academic robe, judge's robe | academic, gown, judge, robe
056 | n02699494 | altar | altar
057 | n02769748 | backpack, back pack, knapsack, packsack, rucksack, haversack | back, backpack, haversack, knapsack, pack, packsack, rucksack
058 | n02788148 | bannister, banister, balustrade, balusters, handrail | balusters, balustrade, banister, bannister, handrail
059 | n02791270 | barbershop | barbershop
060 | n02793495 | barn | barn
061 | n02795169 | barrel, cask | barrel, cask
062 | n02802426 | basketball | basketball
063 | n02808440 | bathtub, bathing tub, bath, tub | bath, bathing, bathtub, tub
064 | n02814533 | beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon | beach, car, estate, station, waggon, wagon
065 | n02814860 | beacon, lighthouse, beacon light, pharos | beacon, light, lighthouse, pharos
066 | n02815834 | beaker | beaker
067 | n02823428 | beer bottle | beer, bottle
068 | n02837789 | bikini, two-piece | bikini, piece, two
069 | n02841315 | binoculars, field glasses, opera glasses | binoculars, field, glasses, opera
070 | n02843684 | birdhouse | birdhouse
071 | n02883205 | bow tie, bow-tie, bowtie | bow, bowtie, tie
072 | n02892201 | brass, memorial tablet, plaque | brass, memorial, plaque, tablet
073 | n02909870 | bucket, pail | bucket, pail
074 | n02917067 | bullet train, bullet | bullet, train
075 | n02927161 | butcher shop, meat market | butcher, market, meat, shop
076 | n02948072 | candle, taper, wax light | candle, light, taper, wax
077 | n02950826 | cannon | cannon
078 | n02963159 | cardigan | cardigan
079 | n02977058 | cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM | atm, automated, automatic, cash, dispenser, machine, teller
080 | n02988304 | CD player | cd, player
081 | n03014705 | chest | chest
082 | n03026506 | Christmas stocking | christmas, stocking
083 | n03042490 | cliff dwelling | cliff, dwelling
084 | n03085013 | computer keyboard, keypad | computer, keyboard, keypad
085 | n03089624 | confectionery, confectionary, candy store | candy, confectionary, confectionery, store
086 | n03100240 | convertible | convertible
087 | n03126707 | crane | crane
088 | n03160309 | dam, dike, dyke | dam, dike, dyke
089 | n03179701 | desk | desk
090 | n03201208 | dining table, board | board, dining, table
091 | n03255030 | dumbbell | dumbbell
092 | n03355925 | flagpole, flagstaff | flagpole, flagstaff
093 | n03373237 | fly | fly
094 | n03388043 | fountain | fountain
095 | n03393912 | freight car | car, freight
096 | n03400231 | frying pan, frypan, skillet | frying, frypan, pan, skillet
097 | n03404251 | fur coat | coat, fur
098 | n03424325 | gasmask, respirator, gas helmet | gas, gasmask, helmet, respirator
099 | n03444034 | go-kart | go, kart
100 | n03447447 | gondola | gondola
101 | n03544143 | hourglass | hourglass
102 | n03584254 | iPod | ipod
103 | n03599486 | jinrikisha, ricksha, rickshaw | jinrikisha, ricksha, rickshaw
104 | n03617480 | kimono | kimono
105 | n03637318 | lampshade, lamp shade | lamp, lampshade, shade
106 | n03649909 | lawn mower, mower | lawn, mower
107 | n03662601 | lifeboat | lifeboat
108 | n03670208 | limousine, limo | limo, limousine
109 | n03706229 | magnetic compass | compass, magnetic
110 | n03733131 | maypole | maypole
111 | n03763968 | military uniform | military, uniform
112 | n03770439 | miniskirt, mini | mini, miniskirt
113 | n03796401 | moving van | moving, van
114 | n03814639 | neck brace | brace, neck
115 | n03837869 | obelisk | obelisk
116 | n03838899 | oboe, hautboy, hautbois | hautbois, hautboy, oboe
117 | n03854065 | organ, pipe organ | organ, pipe
118 | n03891332 | parking meter | meter, parking
119 | n03902125 | pay-phone, pay-station | pay, phone, station
120 | n03930313 | picket fence, paling | fence, paling, picket
121 | n03937543 | pill bottle | bottle, pill
122 | n03970156 | plunger, plumber's helper | helper, plumber, plunger
123 | n03977966 | police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria | maria, paddy, patrol, police, van, wagon
124 | n03980874 | poncho | poncho
125 | n03983396 | pop bottle, soda bottle | bottle, pop, soda
126 | n03992509 | potter's wheel | potter, wheel
127 | n04008634 | projectile, missile | missile, projectile
128 | n04023962 | punching bag, punch bag, punching ball, punchball | bag, ball, punch, punchball, punching
129 | n04070727 | refrigerator, icebox | icebox, refrigerator
130 | n04074963 | remote control, remote | control, remote
131 | n04099969 | rocking chair, rocker | chair, rocker, rocking
132 | n04118538 | rugby ball | ball, rugby
133 | n04133789 | sandal | sandal
134 | n04146614 | school bus | bus, school
135 | n04149813 | scoreboard | scoreboard
136 | n04179913 | sewing machine | machine, sewing
137 | n04251144 | snorkel | snorkel
138 | n04254777 | sock | sock
139 | n04259630 | sombrero | sombrero
140 | n04265275 | space heater | heater, space
141 | n04275548 | spider web, spider's web | spider, web
142 | n04285008 | sports car, sport car | car, sport, sports
143 | n04311004 | steel arch bridge | arch, bridge, steel
144 | n04328186 | stopwatch, stop watch | stop, stopwatch, watch
145 | n04356056 | sunglasses, dark glasses, shades | dark, glasses, shades, sunglasses
146 | n04366367 | suspension bridge | bridge, suspension
147 | n04371430 | swimming trunks, bathing trunks | bathing, swimming, trunks
148 | n04376876 | syringe | syringe
149 | n04398044 | teapot | teapot
150 | n04399382 | teddy, teddy bear | bear, teddy
151 | n04417672 | thatch, thatched roof | roof, thatch, thatched
152 | n04456115 | torch | torch
153 | n04465666 | tractor | tractor
154 | n04486054 | triumphal arch | arch, triumphal
155 | n04487081 | trolleybus, trolley coach, trackless trolley | coach, trackless, trolley, trolleybus
156 | n04501370 | turnstile | turnstile
157 | n04507155 | umbrella | umbrella
158 | n04532106 | vestment | vestment
159 | n04532670 | viaduct | viaduct
160 | n04540053 | volleyball | volleyball
161 | n04560804 | water jug | jug, water
162 | n04562935 | water tower | tower, water
163 | n04596742 | wok | wok
164 | n04598010 | wooden spoon | spoon, wooden
165 | n06596364 | comic book | book, comic
166 | n07056680 | reel | reel
167 | n07583066 | guacamole | guacamole
168 | n07614500 | ice cream, icecream | cream, ice, icecream
169 | n07615774 | ice lolly, lolly, lollipop, popsicle | ice, lollipop, lolly, popsicle
170 | n07646821 | goose | goose
171 | n07647870 | drumstick | drumstick
172 | n07657664 | plate | plate
173 | n07695742 | pretzel | pretzel
174 | n07711569 | mashed potato | mashed, potato
175 | n07715103 | cauliflower | cauliflower
176 | n07720875 | bell pepper | bell, pepper
177 | n07749582 | lemon | lemon
178 | n07753592 | banana | banana
179 | n07768694 | pomegranate | pomegranate
180 | n07871810 | meat loaf, meatloaf | loaf, meat, meatloaf
181 | n07873807 | pizza, pizza pie | pie, pizza
182 | n07875152 | potpie | potpie
183 | n07920052 | espresso | espresso
184 | n07975909 | bee | bee
185 | n08496334 | apron | apron
186 | n08620881 | pole | pole
187 | n08742578 | Chihuahua | chihuahua
188 | n09193705 | alp | alp
189 | n09246464 | cliff, drop, drop-off | cliff, drop, off
190 | n09256479 | coral reef | coral, reef
191 | n09332890 | lakeside, lakeshore | lakeshore, lakeside
192 | n09428293 | seashore, coast, seacoast, sea-coast | coast, sea, seacoast, seashore
193 | n12267677 | acorn | acorn
194 | n12520864 | broom | broom
195 | n13001041 | mushroom | mushroom
196 | n13652335 | nail | nail
197 | n13652994 | chain | chain
198 | n13719102 | slug | slug
199 | n14991210 | orange | 
